维度	实体	状态/事件	边界值	期望表现(出处)	实测	结论	证据
S1数值	unit_cs:Goblin	summon_key (本项目自定列)	-	本项目自定：summon_key	ours=	允许的差异(本项目自定列)	差异登记 D22 / docs/步骤文档.md §4.2
S1数值	unit_cs:Goblin	summon_n (本项目自定列)	-	本项目自定：summon_n	ours=0	允许的差异(本项目自定列)	差异登记 D22 / docs/步骤文档.md §4.2
S1数值	unit_cs:Goblin	summon_radius_mt (本项目自定列)	-	本项目自定：summon_radius_mt	ours=0	允许的差异(本项目自定列)	差异登记 D22 / docs/步骤文档.md §4.2
S1数值	unit_cs:IceSpiritsProjectile	damage ↔ 官方 damage_per_level	110	IceSpiritsProjectile:damage_per_level = 110	ours=110 official=110	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:IceSpiritsProjectile	id (本项目自定列)	-	本项目自定：id	ours=26020075	允许的差异(本项目自定列)	差异登记 D22 / docs/步骤文档.md §4.2
S1数值	unit_cs:IceSpiritsProjectile	key (本项目自定列)	-	本项目自定：key	ours=IceSpiritsProjectile	允许的差异(本项目自定列)	差异登记 D22 / docs/步骤文档.md §4.2
S1数值	unit_cs:IceSpiritsProjectile	kind (本项目自定列)	-	本项目自定：kind	ours=3	允许的差异(本项目自定列)	差异登记 D22 / docs/步骤文档.md §4.2
S1数值	unit_cs:IceSpiritsProjectile	name_cn (本项目自定列)	-	本项目自定：name_cn	ours=	允许的差异(本项目自定列)	差异登记 D22 / docs/步骤文档.md §4.2
S1数值	unit_cs:IceSpiritsProjectile	radius_mt ↔ 官方 collision_radius	1500	IceSpiritsProjectile:collision_radius = 1500	ours=1500 official=1500	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:IceSpiritsProjectile	spawn_interval_ms ↔ 官方 spawn_interval/spawn_pause_time	0	IceSpiritsProjectile:spawn_interval/spawn_pause_time = 0	ours=0 official=0	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:IceSpiritsProjectile	speed ↔ 官方 speed	400	IceSpiritsProjectile:speed = 400	ours=400 official=400	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:IceSpiritsProjectile	sprite_dir (本项目自定列)	-	本项目自定：sprite_dir	ours=	允许的差异(本项目自定列)	差异登记 D22 / docs/步骤文档.md §4.2
S1数值	unit_cs:IceSpiritsProjectile	summon_deploy_delay_ms (本项目自定列)	-	本项目自定：summon_deploy_delay_ms	ours=0	允许的差异(本项目自定列)	差异登记 D22 / docs/步骤文档.md §4.2
S1数值	unit_cs:IceSpiritsProjectile	summon_key (本项目自定列)	-	本项目自定：summon_key	ours=	允许的差异(本项目自定列)	差异登记 D22 / docs/步骤文档.md §4.2
S1数值	unit_cs:IceSpiritsProjectile	summon_n (本项目自定列)	-	本项目自定：summon_n	ours=0	允许的差异(本项目自定列)	差异登记 D22 / docs/步骤文档.md §4.2
S1数值	unit_cs:IceSpiritsProjectile	summon_radius_mt (本项目自定列)	-	本项目自定：summon_radius_mt	ours=0	允许的差异(本项目自定列)	差异登记 D22 / docs/步骤文档.md §4.2
S1数值	unit_cs:KingProjectile	damage ↔ 官方 damage_per_level	128	KingProjectile:damage_per_level = 128	ours=128 official=128	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:KingProjectile	id (本项目自定列)	-	本项目自定：id	ours=26020089	允许的差异(本项目自定列)	差异登记 D22 / docs/步骤文档.md §4.2
S1数值	unit_cs:KingProjectile	key (本项目自定列)	-	本项目自定：key	ours=KingProjectile	允许的差异(本项目自定列)	差异登记 D22 / docs/步骤文档.md §4.2
S1数值	unit_cs:KingProjectile	kind (本项目自定列)	-	本项目自定：kind	ours=3	允许的差异(本项目自定列)	差异登记 D22 / docs/步骤文档.md §4.2
S1数值	unit_cs:KingProjectile	name_cn (本项目自定列)	-	本项目自定：name_cn	ours=	允许的差异(本项目自定列)	差异登记 D22 / docs/步骤文档.md §4.2
S1数值	unit_cs:KingProjectile	spawn_interval_ms ↔ 官方 spawn_interval/spawn_pause_time	0	KingProjectile:spawn_interval/spawn_pause_time = 0	ours=0 official=0	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:KingProjectile	speed ↔ 官方 speed	1000	KingProjectile:speed = 1000	ours=1000 official=1000	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:KingProjectile	sprite_dir (本项目自定列)	-	本项目自定：sprite_dir	ours=	允许的差异(本项目自定列)	差异登记 D22 / docs/步骤文档.md §4.2
S1数值	unit_cs:KingProjectile	summon_deploy_delay_ms (本项目自定列)	-	本项目自定：summon_deploy_delay_ms	ours=0	允许的差异(本项目自定列)	差异登记 D22 / docs/步骤文档.md §4.2
S1数值	unit_cs:KingProjectile	summon_key (本项目自定列)	-	本项目自定：summon_key	ours=	允许的差异(本项目自定列)	差异登记 D22 / docs/步骤文档.md §4.2
S1数值	unit_cs:KingProjectile	summon_n (本项目自定列)	-	本项目自定：summon_n	ours=0	允许的差异(本项目自定列)	差异登记 D22 / docs/步骤文档.md §4.2
S1数值	unit_cs:KingProjectile	summon_radius_mt (本项目自定列)	-	本项目自定：summon_radius_mt	ours=0	允许的差异(本项目自定列)	差异登记 D22 / docs/步骤文档.md §4.2
S1数值	unit_cs:KingTower	aoe_radius_mt ↔ 官方 area_damage_radius	0	KingTower:area_damage_radius = 0	ours=0 official=0	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:KingTower	atk_air ↔ 官方 attacks_air	1	KingTower:attacks_air = 1	ours=1 official=1	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:KingTower	atk_ground ↔ 官方 attacks_ground	1	KingTower:attacks_ground = 1	ours=1 official=1	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:KingTower	damage ↔ 官方 damage_per_level	128	KingTower:damage_per_level = 128	ours=128 official=128	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:KingTower	death_aoe_radius_mt ↔ 官方 death_damage_radius	0	KingTower:death_damage_radius = 0	ours=0 official=0	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:KingTower	death_damage ↔ 官方 death_damage	0	KingTower:death_damage = 0	ours=0 official=0	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:KingTower	death_spawn_n ↔ 官方 death_spawn_count	0	KingTower:death_spawn_count = 0	ours=0 official=0	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:KingTower	deploy_ms ↔ 官方 deploy_time	0	KingTower:deploy_time = 0	ours=0 official=0	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:KingTower	flying ↔ 官方 flying_height	0	KingTower:flying_height = 0	ours=0 official=0	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:KingTower	hit_speed_ms ↔ 官方 hit_speed	1000	KingTower:hit_speed = 1000	ours=1000 official=1000	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:KingTower	hp ↔ 官方 hitpoints_per_level	6144	KingTower:hitpoints_per_level = 6144	ours=6144 official=6144	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:KingTower	id (本项目自定列)	-	本项目自定：id	ours=26020059	允许的差异(本项目自定列)	差异登记 D22 / docs/步骤文档.md §4.2
S1数值	unit_cs:KingTower	key (本项目自定列)	-	本项目自定：key	ours=KingTower	允许的差异(本项目自定列)	差异登记 D22 / docs/步骤文档.md §4.2
S1数值	unit_cs:KingTower	kind (本项目自定列)	-	本项目自定：kind	ours=2	允许的差异(本项目自定列)	差异登记 D22 / docs/步骤文档.md §4.2
S1数值	unit_cs:KingTower	life_ms ↔ 官方 life_time	0	KingTower:life_time = 0	ours=0 official=0	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:KingTower	load_time_ms ↔ 官方 load_time	500	KingTower:load_time = 500	ours=500 official=500	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:KingTower	mass ↔ 官方 mass	0	KingTower:mass = 0	ours=0 official=0	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:KingTower	name_cn (本项目自定列)	-	本项目自定：name_cn	ours=国王塔	允许的差异(本项目自定列)	差异登记 D22 / docs/步骤文档.md §4.2
S1数值	unit_cs:KingTower	only_buildings ↔ 官方 target_only_buildings	0	KingTower:target_only_buildings = 0	ours=0 official=0	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:KingTower	only_towers ↔ 官方 target_only_towers	0	KingTower:target_only_towers = 0	ours=0 official=0	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:KingTower	only_troops ↔ 官方 target_only_troops	0	KingTower:target_only_troops = 0	ours=0 official=0	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:KingTower	projectile_key ↔ 官方 custom_first_projectile/projectile	KingProjectile	KingTower:custom_first_projectile/projectile = KingProjectile	ours=KingProjectile official=KingProjectile	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:KingTower	radius_mt ↔ 官方 collision_radius	1400	KingTower:collision_radius = 1400	ours=1400 official=1400	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:KingTower	range_mt ↔ 官方 range	7000	KingTower:range = 7000	ours=7000 official=7000	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:KingTower	sight_mt ↔ 官方 sight_range	7000	KingTower:sight_range = 7000	ours=7000 official=7000	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:KingTower	spawn_interval_ms ↔ 官方 spawn_interval/spawn_pause_time	0	KingTower:spawn_interval/spawn_pause_time = 0	ours=0 official=0	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:KingTower	spawn_limit ↔ 官方 spawn_limit	0	KingTower:spawn_limit = 0	ours=0 official=0	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:KingTower	spawn_n ↔ 官方 spawn_number	0	KingTower:spawn_number = 0	ours=0 official=0	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:KingTower	spawn_radius_mt ↔ 官方 spawn_radius	0	KingTower:spawn_radius = 0	ours=0 official=0	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:KingTower	speed ↔ 官方 speed	0	KingTower:speed = 0	ours=0 official=0	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:KingTower	sprite_dir (本项目自定列)	-	本项目自定：sprite_dir	ours=building_tower_out	允许的差异(本项目自定列)	差异登记 D22 / docs/步骤文档.md §4.2
S1数值	unit_cs:KingTower	summon_deploy_delay_ms (本项目自定列)	-	本项目自定：summon_deploy_delay_ms	ours=0	允许的差异(本项目自定列)	差异登记 D22 / docs/步骤文档.md §4.2
S1数值	unit_cs:KingTower	summon_key (本项目自定列)	-	本项目自定：summon_key	ours=	允许的差异(本项目自定列)	差异登记 D22 / docs/步骤文档.md §4.2
S1数值	unit_cs:KingTower	summon_n (本项目自定列)	-	本项目自定：summon_n	ours=0	允许的差异(本项目自定列)	差异登记 D22 / docs/步骤文档.md §4.2
S1数值	unit_cs:KingTower	summon_radius_mt (本项目自定列)	-	本项目自定：summon_radius_mt	ours=0	允许的差异(本项目自定列)	差异登记 D22 / docs/步骤文档.md §4.2
S1数值	unit_cs:LavaHoundProjectile	damage ↔ 官方 damage_per_level	54	LavaHoundProjectile:damage_per_level = 54	ours=54 official=54	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:LavaHoundProjectile	id (本项目自定列)	-	本项目自定：id	ours=26020073	允许的差异(本项目自定列)	差异登记 D22 / docs/步骤文档.md §4.2
S1数值	unit_cs:LavaHoundProjectile	key (本项目自定列)	-	本项目自定：key	ours=LavaHoundProjectile	允许的差异(本项目自定列)	差异登记 D22 / docs/步骤文档.md §4.2
S1数值	unit_cs:LavaHoundProjectile	kind (本项目自定列)	-	本项目自定：kind	ours=3	允许的差异(本项目自定列)	差异登记 D22 / docs/步骤文档.md §4.2
S1数值	unit_cs:LavaHoundProjectile	name_cn (本项目自定列)	-	本项目自定：name_cn	ours=	允许的差异(本项目自定列)	差异登记 D22 / docs/步骤文档.md §4.2
S1数值	unit_cs:LavaHoundProjectile	spawn_interval_ms ↔ 官方 spawn_interval/spawn_pause_time	0	LavaHoundProjectile:spawn_interval/spawn_pause_time = 0	ours=0 official=0	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:LavaHoundProjectile	speed ↔ 官方 speed	400	LavaHoundProjectile:speed = 400	ours=400 official=400	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:LavaHoundProjectile	sprite_dir (本项目自定列)	-	本项目自定：sprite_dir	ours=	允许的差异(本项目自定列)	差异登记 D22 / docs/步骤文档.md §4.2
S1数值	unit_cs:LavaHoundProjectile	summon_deploy_delay_ms (本项目自定列)	-	本项目自定：summon_deploy_delay_ms	ours=0	允许的差异(本项目自定列)	差异登记 D22 / docs/步骤文档.md §4.2
S1数值	unit_cs:LavaHoundProjectile	summon_key (本项目自定列)	-	本项目自定：summon_key	ours=	允许的差异(本项目自定列)	差异登记 D22 / docs/步骤文档.md §4.2
S1数值	unit_cs:LavaHoundProjectile	summon_n (本项目自定列)	-	本项目自定：summon_n	ours=0	允许的差异(本项目自定列)	差异登记 D22 / docs/步骤文档.md §4.2
S1数值	unit_cs:LavaHoundProjectile	summon_radius_mt (本项目自定列)	-	本项目自定：summon_radius_mt	ours=0	允许的差异(本项目自定列)	差异登记 D22 / docs/步骤文档.md §4.2
S1数值	unit_cs:LavaPupProjectile	damage ↔ 官方 damage_per_level	90	LavaPupProjectile:damage_per_level = 90	ours=90 official=90	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:LavaPupProjectile	id (本项目自定列)	-	本项目自定：id	ours=26020090	允许的差异(本项目自定列)	差异登记 D22 / docs/步骤文档.md §4.2
S1数值	unit_cs:LavaPupProjectile	key (本项目自定列)	-	本项目自定：key	ours=LavaPupProjectile	允许的差异(本项目自定列)	差异登记 D22 / docs/步骤文档.md §4.2
S1数值	unit_cs:LavaPupProjectile	kind (本项目自定列)	-	本项目自定：kind	ours=3	允许的差异(本项目自定列)	差异登记 D22 / docs/步骤文档.md §4.2
S1数值	unit_cs:LavaPupProjectile	name_cn (本项目自定列)	-	本项目自定：name_cn	ours=	允许的差异(本项目自定列)	差异登记 D22 / docs/步骤文档.md §4.2
S1数值	unit_cs:LavaPupProjectile	spawn_interval_ms ↔ 官方 spawn_interval/spawn_pause_time	0	LavaPupProjectile:spawn_interval/spawn_pause_time = 0	ours=0 official=0	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:LavaPupProjectile	speed ↔ 官方 speed	500	LavaPupProjectile:speed = 500	ours=500 official=500	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:LavaPupProjectile	sprite_dir (本项目自定列)	-	本项目自定：sprite_dir	ours=	允许的差异(本项目自定列)	差异登记 D22 / docs/步骤文档.md §4.2
S1数值	unit_cs:LavaPupProjectile	summon_deploy_delay_ms (本项目自定列)	-	本项目自定：summon_deploy_delay_ms	ours=0	允许的差异(本项目自定列)	差异登记 D22 / docs/步骤文档.md §4.2
S1数值	unit_cs:LavaPupProjectile	summon_key (本项目自定列)	-	本项目自定：summon_key	ours=	允许的差异(本项目自定列)	差异登记 D22 / docs/步骤文档.md §4.2
S1数值	unit_cs:LavaPupProjectile	summon_n (本项目自定列)	-	本项目自定：summon_n	ours=0	允许的差异(本项目自定列)	差异登记 D22 / docs/步骤文档.md §4.2
S1数值	unit_cs:LavaPupProjectile	summon_radius_mt (本项目自定列)	-	本项目自定：summon_radius_mt	ours=0	允许的差异(本项目自定列)	差异登记 D22 / docs/步骤文档.md §4.2
S1数值	unit_cs:LavaPups	aoe_radius_mt ↔ 官方 area_damage_radius	0	LavaPups:area_damage_radius = 0	ours=0 official=0	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:LavaPups	atk_air ↔ 官方 attacks_air	1	LavaPups:attacks_air = 1	ours=1 official=1	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:LavaPups	atk_ground ↔ 官方 attacks_ground	1	LavaPups:attacks_ground = 1	ours=1 official=1	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:LavaPups	damage ↔ 官方 damage_per_level	90	LavaPups:damage_per_level = 90	ours=90 official=90	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:LavaPups	death_aoe_radius_mt ↔ 官方 death_damage_radius	0	LavaPups:death_damage_radius = 0	ours=0 official=0	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:LavaPups	death_damage ↔ 官方 death_damage	0	LavaPups:death_damage = 0	ours=0 official=0	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:LavaPups	death_spawn_n ↔ 官方 death_spawn_count	0	LavaPups:death_spawn_count = 0	ours=0 official=0	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:LavaPups	deploy_ms ↔ 官方 deploy_time	1000	LavaPups:deploy_time = 1000	ours=1000 official=1000	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:LavaPups	flying ↔ 官方 flying_height	1	LavaPups:flying_height = 1	ours=1 official=1	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:LavaPups	hit_speed_ms ↔ 官方 hit_speed	1700	LavaPups:hit_speed = 1700	ours=1700 official=1700	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:LavaPups	hp ↔ 官方 hitpoints_per_level	216	LavaPups:hitpoints_per_level = 216	ours=216 official=216	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:LavaPups	id (本项目自定列)	-	本项目自定：id	ours=26020074	允许的差异(本项目自定列)	差异登记 D22 / docs/步骤文档.md §4.2
S1数值	unit_cs:LavaPups	key (本项目自定列)	-	本项目自定：key	ours=LavaPups	允许的差异(本项目自定列)	差异登记 D22 / docs/步骤文档.md §4.2
S1数值	unit_cs:LavaPups	kind (本项目自定列)	-	本项目自定：kind	ours=0	允许的差异(本项目自定列)	差异登记 D22 / docs/步骤文档.md §4.2
S1数值	unit_cs:LavaPups	life_ms ↔ 官方 life_time	0	LavaPups:life_time = 0	ours=0 official=0	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:LavaPups	load_time_ms ↔ 官方 load_time	700	LavaPups:load_time = 700	ours=700 official=700	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:LavaPups	mass ↔ 官方 mass	5	LavaPups:mass = 5	ours=5 official=5	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:LavaPups	name_cn (本项目自定列)	-	本项目自定：name_cn	ours=	允许的差异(本项目自定列)	差异登记 D22 / docs/步骤文档.md §4.2
S1数值	unit_cs:LavaPups	only_buildings ↔ 官方 target_only_buildings	0	LavaPups:target_only_buildings = 0	ours=0 official=0	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:LavaPups	only_towers ↔ 官方 target_only_towers	0	LavaPups:target_only_towers = 0	ours=0 official=0	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:LavaPups	only_troops ↔ 官方 target_only_troops	0	LavaPups:target_only_troops = 0	ours=0 official=0	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:LavaPups	projectile_key ↔ 官方 custom_first_projectile/projectile	LavaPupProjectile	LavaPups:custom_first_projectile/projectile = LavaPupProjectile	ours=LavaPupProjectile official=LavaPupProjectile	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:LavaPups	radius_mt ↔ 官方 collision_radius	450	LavaPups:collision_radius = 450	ours=450 official=450	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:LavaPups	range_mt ↔ 官方 range	1600	LavaPups:range = 1600	ours=1600 official=1600	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:LavaPups	sight_mt ↔ 官方 sight_range	5500	LavaPups:sight_range = 5500	ours=5500 official=5500	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:LavaPups	spawn_interval_ms ↔ 官方 spawn_interval/spawn_pause_time	0	LavaPups:spawn_interval/spawn_pause_time = 0	ours=0 official=0	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:LavaPups	spawn_limit ↔ 官方 spawn_limit	0	LavaPups:spawn_limit = 0	ours=0 official=0	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:LavaPups	spawn_n ↔ 官方 spawn_number	0	LavaPups:spawn_number = 0	ours=0 official=0	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:LavaPups	spawn_radius_mt ↔ 官方 spawn_radius	0	LavaPups:spawn_radius = 0	ours=0 official=0	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:LavaPups	speed ↔ 官方 speed	60	LavaPups:speed = 60	ours=60 official=60	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:LavaPups	sprite_dir (本项目自定列)	-	本项目自定：sprite_dir	ours=chr_lava_pups_out	允许的差异(本项目自定列)	差异登记 D22 / docs/步骤文档.md §4.2
S1数值	unit_cs:LavaPups	summon_deploy_delay_ms (本项目自定列)	-	本项目自定：summon_deploy_delay_ms	ours=0	允许的差异(本项目自定列)	差异登记 D22 / docs/步骤文档.md §4.2
S1数值	unit_cs:LavaPups	summon_key (本项目自定列)	-	本项目自定：summon_key	ours=	允许的差异(本项目自定列)	差异登记 D22 / docs/步骤文档.md §4.2
S1数值	unit_cs:LavaPups	summon_n (本项目自定列)	-	本项目自定：summon_n	ours=0	允许的差异(本项目自定列)	差异登记 D22 / docs/步骤文档.md §4.2
S1数值	unit_cs:LavaPups	summon_radius_mt (本项目自定列)	-	本项目自定：summon_radius_mt	ours=0	允许的差异(本项目自定列)	差异登记 D22 / docs/步骤文档.md §4.2
S1数值	unit_cs:MegaMinionSpit	damage ↔ 官方 damage_per_level	311	MegaMinionSpit:damage_per_level = 311	ours=311 official=311	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:MegaMinionSpit	id (本项目自定列)	-	本项目自定：id	ours=26020078	允许的差异(本项目自定列)	差异登记 D22 / docs/步骤文档.md §4.2
S1数值	unit_cs:MegaMinionSpit	key (本项目自定列)	-	本项目自定：key	ours=MegaMinionSpit	允许的差异(本项目自定列)	差异登记 D22 / docs/步骤文档.md §4.2
S1数值	unit_cs:MegaMinionSpit	kind (本项目自定列)	-	本项目自定：kind	ours=3	允许的差异(本项目自定列)	差异登记 D22 / docs/步骤文档.md §4.2
S1数值	unit_cs:MegaMinionSpit	name_cn (本项目自定列)	-	本项目自定：name_cn	ours=	允许的差异(本项目自定列)	差异登记 D22 / docs/步骤文档.md §4.2
S1数值	unit_cs:MegaMinionSpit	spawn_interval_ms ↔ 官方 spawn_interval/spawn_pause_time	0	MegaMinionSpit:spawn_interval/spawn_pause_time = 0	ours=0 official=0	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:MegaMinionSpit	speed ↔ 官方 speed	1000	MegaMinionSpit:speed = 1000	ours=1000 official=1000	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:MegaMinionSpit	sprite_dir (本项目自定列)	-	本项目自定：sprite_dir	ours=	允许的差异(本项目自定列)	差异登记 D22 / docs/步骤文档.md §4.2
S1数值	unit_cs:MegaMinionSpit	summon_deploy_delay_ms (本项目自定列)	-	本项目自定：summon_deploy_delay_ms	ours=0	允许的差异(本项目自定列)	差异登记 D22 / docs/步骤文档.md §4.2
S1数值	unit_cs:MegaMinionSpit	summon_key (本项目自定列)	-	本项目自定：summon_key	ours=	允许的差异(本项目自定列)	差异登记 D22 / docs/步骤文档.md §4.2
S1数值	unit_cs:MegaMinionSpit	summon_n (本项目自定列)	-	本项目自定：summon_n	ours=0	允许的差异(本项目自定列)	差异登记 D22 / docs/步骤文档.md §4.2
S1数值	unit_cs:MegaMinionSpit	summon_radius_mt (本项目自定列)	-	本项目自定：summon_radius_mt	ours=0	允许的差异(本项目自定列)	差异登记 D22 / docs/步骤文档.md §4.2
S1数值	unit_cs:Minion	aoe_radius_mt ↔ 官方 area_damage_radius	0	Minion:area_damage_radius = 0	ours=0 official=0	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:Minion	atk_air ↔ 官方 attacks_air	1	Minion:attacks_air = 1	ours=1 official=1	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:Minion	atk_ground ↔ 官方 attacks_ground	1	Minion:attacks_ground = 1	ours=1 official=1	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:Minion	damage ↔ 官方 damage_per_level	117	Minion:damage_per_level = 117	ours=117 official=117	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:Minion	death_aoe_radius_mt ↔ 官方 death_damage_radius	0	Minion:death_damage_radius = 0	ours=0 official=0	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:Minion	death_damage ↔ 官方 death_damage	0	Minion:death_damage = 0	ours=0 official=0	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:Minion	death_spawn_n ↔ 官方 death_spawn_count	0	Minion:death_spawn_count = 0	ours=0 official=0	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:Minion	deploy_ms ↔ 官方 deploy_time	1000	Minion:deploy_time = 1000	ours=1000 official=1000	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:Minion	flying ↔ 官方 flying_height	1	Minion:flying_height = 1	ours=1 official=1	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:Minion	hit_speed_ms ↔ 官方 hit_speed	1000	Minion:hit_speed = 1000	ours=1000 official=1000	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:Minion	hp ↔ 官方 hitpoints_per_level	230	Minion:hitpoints_per_level = 230	ours=230 official=230	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:Minion	id (本项目自定列)	-	本项目自定：id	ours=26020011	允许的差异(本项目自定列)	差异登记 D22 / docs/步骤文档.md §4.2
S1数值	unit_cs:Minion	key (本项目自定列)	-	本项目自定：key	ours=Minion	允许的差异(本项目自定列)	差异登记 D22 / docs/步骤文档.md §4.2
S1数值	unit_cs:Minion	kind (本项目自定列)	-	本项目自定：kind	ours=0	允许的差异(本项目自定列)	差异登记 D22 / docs/步骤文档.md §4.2
S1数值	unit_cs:Minion	life_ms ↔ 官方 life_time	0	Minion:life_time = 0	ours=0 official=0	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:Minion	load_time_ms ↔ 官方 load_time	500	Minion:load_time = 500	ours=500 official=500	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:Minion	mass ↔ 官方 mass	2	Minion:mass = 2	ours=2 official=2	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:Minion	name_cn (本项目自定列)	-	本项目自定：name_cn	ours=	允许的差异(本项目自定列)	差异登记 D22 / docs/步骤文档.md §4.2
